https://www.tripadvisor.com/Hotel_Review-g28970-d14140404-Reviews-or5-Eaton_Hotel-Washington_DC_District_of_Columbia.html,Eaton Hotel,"If Joshua Tree made a hotel brand, this is it!","I had a work conference that was held at Eaton DC. It’s my new happy place hotel. Upon check in, you get healing crystals to take to your room. The rooms are spacious, with a lot of storage which I love. Also record players included,...More",36
https://www.tripadvisor.com/Hotel_Review-g28970-d14140404-Reviews-or10-Eaton_Hotel-Washington_DC_District_of_Columbia.html,Eaton Hotel,"Attentive Service, Relaxing Environment in Busy DC","I booked a staycation here for my birthday and they upgraded me to a suit for free when they found out! Everyone at the hotel has Southern hospitality and just wants to help and make sure you have a relaxing stay. 

It was impressive when...More",1
https://www.tripadvisor.com/Hotel_Review-g28970-d14140404-Reviews-or20-Eaton_Hotel-Washington_DC_District_of_Columbia.html,Eaton Hotel,DC's hotel/space for creatives and activists,"Eaton DC is a hotel/co-working space/restaurant/bar/coffee shop/event space/wellness center/library/speakeasy/art gallery/radio station in downtown DC. Seriously, it really is all those things. Eaton DC's owner and staff are artists and activists with a mission to create a gathering space for the creative and activist community in...More",162
https://www.tripadvisor.com/Hotel_Review-g28970-d84067-Reviews-or50-Grand_Hyatt_Washington-Washington_DC_District_of_Columbia.html,None,Beautiful Hotel!,"We have stayed in many hotels in the city and this one is one of the best! The lobby is expansive and impressive, the staff was friendly and the location was very convenient. There is a metro stop under the lobby which is great. The...More",36
https://www.tripadvisor.com/Hotel_Review-g28970-d84067-Reviews-or80-Grand_Hyatt_Washington-Washington_DC_District_of_Columbia.html,Grand Hyatt Washington,Customer service needs improvement!,We recently stayed for three nights at the Grand Hyatt and first impressions was that it looked like a lovely hotel and it is however improvements need to be made regarding customer service! On numerous occasions before we arrived I tried contacting the hotels manager...More,31
https://www.tripadvisor.com/Hotel_Review-g28970-d84067-Reviews-or95-Grand_Hyatt_Washington-Washington_DC_District_of_Columbia.html,Grand Hyatt Washington,Excellent Place to Stay in D.C. ,"The hotel was elegant, centrally located and comfortable! The staff were very professional and friendly.  Many attractions such as the Capital, White House, The Smithsonian, The Lincoln Memorial, etc were a short Metro Rail Ride and walk away.  The Metro Rail stopped at the HyattMore",141
https://www.tripadvisor.com/Hotel_Review-g28970-d84067-Reviews-or105-Grand_Hyatt_Washington-Washington_DC_District_of_Columbia.html,Grand Hyatt Washington,Nice hotel in a great location ,"We stayed in this for 3 nights. It has a grand feeling to it the moment you walk through the doors. The reception staff are absolutely brilliant, friendly and very helpful. We got married in New York. When we told them of this they gave...More",11
https://www.tripadvisor.com/Hotel_Review-g28970-d84067-Reviews-or125-Grand_Hyatt_Washington-Washington_DC_District_of_Columbia.html,Grand Hyatt Washington,The most professional Front Desk. ,"From September 14 to September 17, 2018 I stayed at Grand Hyatt Washington. I was pleasantly surprised by the courtesy and professionalism of the representatives of the front desk. They met the highest requirements even to such guests as me with many years of recreation...More",14
https://www.tripadvisor.com/Hotel_Review-g28970-d84067-Reviews-or165-Grand_Hyatt_Washington-Washington_DC_District_of_Columbia.html,Grand Hyatt Washington,"Great Hotel and Location, Good Service","Stayed at this hotel from August 23-27, 2018, as I was in town to finally see the National Museum of African American History and Culture.  The hotel is centrally located, as I was able to walk to the museums and restaurants, and its a short...More",8
https://www.tripadvisor.com/Hotel_Review-g28970-d84067-Reviews-or175-Grand_Hyatt_Washington-Washington_DC_District_of_Columbia.html,Grand Hyatt Washington,"Nice location, nice room view","We stayed here for two nights so we could explore DC. Great location, near all the foods. Staffs are friendly and room and bed were comfortable. Enjoy view of the room looking into the atrium. We will probably stay here again next time we come...More",101
